OID,FID_1,Field1,category,id,latitude,longitude,general_ca,FID_2,label,altname,name,code,centroid_x,centroid_y
48,69,69,italian,y4YGtuQKjwxFEDKJnN9cLg,51.494335,-0.173954,Italian,0,E09000020, ,Kensington and Chelsea,E09000020,-0.190629005,51.5007019
49,71,71,italian,N061zlyo0MTNDQiG96hUHQ,51.488548,-0.169777,Italian,0,E09000020, ,Kensington and Chelsea,E09000020,-0.190629005,51.5007019
50,77,77,italian,EibwJ4akv8xFdba2U1TM6g,51.513968,-0.217472,Italian,0,E09000020, ,Kensington and Chelsea,E09000020,-0.190629005,51.5007019
51,78,78,italian,wUwUajx4L-ZDtI77mJss1A,51.4889717,-0.175974091,Italian,0,E09000020, ,Kensington and Chelsea,E09000020,-0.190629005,51.5007019
52,80,80,italian,CBHrqKjE0SE4d6ypDLFEJw,51.493929,-0.182685,Italian,0,E09000020, ,Kensington and Chelsea,E09000020,-0.190629005,51.5007019
53,81,81,italian,BzX-KhL4VDjOidEKXPhBNQ,51.49909775,-0.15774009,Italian,0,E09000020, ,Kensington and Chelsea,E09000020,-0.190629005,51.5007019
54,83,83,italian,szKxw1gnwOjdG-cG4nR4hA,51.49482488,-0.183395594,Italian,0,E09000020, ,Kensington and Chelsea,E09000020,-0.190629005,51.5007019
55,86,86,italian,6CzxenEcXpcg3IShgJiqNg,51.501019,-0.188078,Italian,0,E09000020, ,Kensington and Chelsea,E09000020,-0.190629005,51.5007019
56,87,87,italian,2PpnLkYFm2lqt28KGSJlcQ,51.50155048,-0.184359831,Italian,0,E09000020, ,Kensington and Chelsea,E09000020,-0.190629005,51.5007019
57,88,88,italian,3jmNtlgpcqtn0XWPifvnlg,51.4951101,-0.1740772,Italian,0,E09000020, ,Kensington and Chelsea,E09000020,-0.190629005,51.5007019
58,89,89,italian,FMOhZ-XrafA4HRuRI4bEQg,51.51341852,-0.203090774,Italian,0,E09000020, ,Kensington and Chelsea,E09000020,-0.190629005,51.5007019
59,90,90,italian,l67S1gE47iztKPpvvEB3jA,51.4829896,-0.1781273,Italian,0,E09000020, ,Kensington and Chelsea,E09000020,-0.190629005,51.5007019
60,92,92,italian,LMKwOJL1JSP-aP6hC_B8zw,51.51557645,-0.206003065,Italian,0,E09000020, ,Kensington and Chelsea,E09000020,-0.190629005,51.5007019
61,98,98,italian,2LDwA5Oc4VFpQyb6zs2wmA,51.5180958,-0.206940248,Italian,0,E09000020, ,Kensington and Chelsea,E09000020,-0.190629005,51.5007019
62,103,103,italian,V8S6pwTpFW4nhu_irDUv1Q,51.4881308,-0.169354677,Italian,0,E09000020, ,Kensington and Chelsea,E09000020,-0.190629005,51.5007019
63,104,104,italian,LDQFyVJJkwrc6ZplFrYk1A,51.52267038,-0.207517818,Italian,0,E09000020, ,Kensington and Chelsea,E09000020,-0.190629005,51.5007019
64,107,107,italian,b2MgYNeuE1uoOyNzZPBHnA,51.4855672,-0.1818483,Italian,0,E09000020, ,Kensington and Chelsea,E09000020,-0.190629005,51.5007019
65,111,111,italian,Aa_8xRphtmWkTTCtXHe04A,51.49851895,-0.162112916,Italian,0,E09000020, ,Kensington and Chelsea,E09000020,-0.190629005,51.5007019
66,114,114,italian,ZT8M0TcLZXXcdPaMbk18Cg,51.5180217,-0.2069201,Italian,0,E09000020, ,Kensington and Chelsea,E09000020,-0.190629005,51.5007019
67,121,121,italian,HR3VE6PUAZMbY4M64GaufQ,51.5018836,-0.1915139,Italian,0,E09000020, ,Kensington and Chelsea,E09000020,-0.190629005,51.5007019
68,123,123,italian,AGvwTHggMX79RxJkK5PKhg,51.502117,-0.188760475,Italian,0,E09000020, ,Kensington and Chelsea,E09000020,-0.190629005,51.5007019
69,126,126,italian,YPVuaIAeFFNSs7uKNsBzyQ,51.4858641,-0.1843076,Italian,0,E09000020, ,Kensington and Chelsea,E09000020,-0.190629005,51.5007019
70,127,127,italian,xJA1FT2oGoMOi6C_UMNYIQ,51.509773,-0.193684,Italian,0,E09000020, ,Kensington and Chelsea,E09000020,-0.190629005,51.5007019
71,133,133,italian,Ps5rjrUJt5QKesVj0plovA,51.4860526,-0.1810413,Italian,0,E09000020, ,Kensington and Chelsea,E09000020,-0.190629005,51.5007019
72,134,134,italian,W8eL5kXvaMWa5zuhDQrWsQ,51.51442764,-0.201214626,Italian,0,E09000020, ,Kensington and Chelsea,E09000020,-0.190629005,51.5007019
73,141,141,italian,9kv1M4yxkU30681vKmcgsw,51.49143259,-0.159535474,Italian,0,E09000020, ,Kensington and Chelsea,E09000020,-0.190629005,51.5007019
74,142,142,italian,xup-3Iso1n4mIPeTUlkoTA,51.50852931,-0.199407089,Italian,0,E09000020, ,Kensington and Chelsea,E09000020,-0.190629005,51.5007019
75,143,143,italian,fiFgpIpAXWjbcE-HiJU4dQ,51.485258,-0.181359,Italian,0,E09000020, ,Kensington and Chelsea,E09000020,-0.190629005,51.5007019
76,147,147,italian,RjWPLLjUmauU3mU7cp2emA,51.4936902,-0.1950204,Italian,0,E09000020, ,Kensington and Chelsea,E09000020,-0.190629005,51.5007019
77,156,156,italian,rdTPhHLjItojCYHkp0d_7w,51.48240274,-0.178077831,Italian,0,E09000020, ,Kensington and Chelsea,E09000020,-0.190629005,51.5007019
78,160,160,italian,9ZaMnl5q1J32zO2O7S72HQ,51.485343,-0.173563,Italian,0,E09000020, ,Kensington and Chelsea,E09000020,-0.190629005,51.5007019
79,165,165,italian,xwg7qQ2hSkKVubqblBBZZQ,51.524223,-0.21364,Italian,0,E09000020, ,Kensington and Chelsea,E09000020,-0.190629005,51.5007019
80,166,166,italian,TMo3Gp0T7mFoYrzSRlCKkQ,51.49163818,-0.160261005,Italian,0,E09000020, ,Kensington and Chelsea,E09000020,-0.190629005,51.5007019
