,category,id,latitude,longitude,general_category
155,italian,FfcnE_vNs9dACBcabybOOw,51.470508278541,-0.2105106047969,Italian
156,italian,rdTPhHLjItojCYHkp0d_7w,51.4824027433441,-0.178077830688494,Italian
157,italian,f0TfqdlKVY1uyR_3R-bpcA,51.499603,-0.163052,Italian
158,italian,cJYcs0SigzSuxI_A0YFg0Q,51.5136329,-0.1876016,Italian
159,italian,aIzNQcbX_qasTJ5PONLrtw,51.545935,-0.1623528,Italian
160,italian,9ZaMnl5q1J32zO2O7S72HQ,51.485343,-0.173563,Italian
161,italian,8k3ZgGKvU73H1ZJQ3RIkWQ,51.549848,-0.164491,Italian
162,italian,-I8d4_3P10eU4vlqSXi0qg,51.5365465,-0.2046507,Italian
163,italian,GUQnDw9Sg5c_bAgap4jHtg,51.479175567627,-0.188197001814842,Italian
164,italian,ASpm0fr5A5fp0G_E1hFwzA,51.5489128,-0.1710916,Italian
165,italian,xwg7qQ2hSkKVubqblBBZZQ,51.524223,-0.21364,Italian
166,italian,TMo3Gp0T7mFoYrzSRlCKkQ,51.4916381835938,-0.160261005163193,Italian
167,italian,OKGmGW00tYshgqXE2LX4qA,51.5223819,-0.1654497,Italian
168,italian,JbvMemHBTYAb_7OXqgDDcA,51.5191802978516,-0.179230004549026,Italian
169,italian,EQVdohDrRxogmnoL8VnfXg,51.497627,-0.1651673,Italian
170,italian,XPMcfMZoeG2-pQjsD0E5LA,51.464612,-0.159563,Italian
171,italian,gTXIXbAoUnBMx9CMvhjDaA,51.4916496,-0.1714491,Italian
172,italian,2w6zCee4z9Q55jUPw-Pu9w,51.5421475089086,-0.170307196676731,Italian
173,italian,Q3xaSqPst6f1mXkgPI0FHw,51.4976196,-0.2028484,Italian
174,italian,PvXAsNEKk0aocDwz-o9UKA,51.49918,-0.1837949,Italian
175,italian,iq3FJOj-LJwGQGB1icK7cg,51.5136826,-0.1593425,Italian
176,italian,6aWsRctfgr1LwTMtbksH4w,51.4924659729004,-0.177009999752045,Italian
177,italian,EE2KLvA5iF-dgRGeWjBc7Q,51.4934731,-0.167262,Italian
178,italian,1uSinC6Lrxs7UWk6wU7A7g,51.5002994238423,-0.16459979228957,Italian
179,italian,AueQllfNne75UQ7Ilv7zkw,51.545139,-0.2019203,Italian
180,italian,hflLZDle3N4TE059hnonXg,51.493715,-0.159183,Italian
181,italian,WIiR5tjOha_K5Yhgi7dl2Q,51.487812,-0.2225264,Italian
182,italian,wdIGtn_e3Myqp5QLjfMCkw,51.491252,-0.167248,Italian
183,italian,nxKGQ7G8H69zYX0PjGOfJQ,51.5458057,-0.1794983,Italian
184,italian,bUyU4n8Ls3Hx0cDuj44ySw,51.4993967,-0.1665438,Italian
185,italian,EgiiVPZM4ZwcU8GPbMO38Q,51.545783996582,-0.179408997297287,Italian
186,italian,fu1MHnLYaGKgKT7oUr6Y7Q,51.514501,-0.165177,Italian
187,italian,cGpR7KY4zvMZb7mgS7mhaQ,51.5504799,-0.1912451,Italian
188,italian,1Xa13wu3hXtND1r4lkDWeg,51.547105,-0.180062,Italian
189,italian,mw-yZ2eXU_5NSjmlTWmcnA,51.480276838077,-0.19713504305988,Italian
190,italian,OIv8QXMjnauOACdRoLYrLg,51.5034021,-0.2221576,Italian
191,italian,PRrEe5QrXVgwrQeIaKv-CQ,51.546569,-0.190136,Italian
192,italian,WWfLWL1yL_whY3gjcyIOcw,51.5189404396522,-0.171632899729813,Italian
193,italian,jkUgv2q0Ygq094iy-Gm-_g,51.4933947199434,-0.173753521514739,Italian
